0	0.007389 -0.000963 0.006277 -0.004202 0.000641 -0.003048 -0.004067 -0.002847 -0.007119 0.005562 0.000217 0.007206 0.001530 -0.001527 -0.001879 0.005178 -0.003312 0.001628 -0.002184 -0.007353 0.004707 0.002397 -0.000874 0.007097 0.002840 -0.006572 -0.005867 -0.000066 0.005846 0.001638 -0.005139 -0.000008 -0.004233 0.003080 0.003434 -0.002146 0.006338 -0.005698 0.003689 0.002263 0.000745 0.007219 0.004945 0.006906 -0.002354 0.002674 0.006007 0.001489 -0.004097 0.002790 -0.002188 0.002327 0.007544 -0.001457 -0.006165 0.003067 0.005791 0.002819 -0.007224 0.005305 0.002699 0.000549 -0.006181 -0.002699 
1	-0.002774 0.004202 0.000211 0.006463 -0.001303 -0.003869 0.001906 0.007566 -0.003779 -0.000453 -0.001971 0.007162 -0.000408 0.001075 -0.004201 -0.000854 -0.004656 -0.007092 -0.003017 -0.000005 -0.001539 -0.003142 -0.006135 -0.005085 0.005914 -0.004802 0.005335 0.002385 0.000001 -0.005222 0.006214 -0.005091 0.003130 -0.003835 0.006687 0.000967 0.004401 -0.005450 -0.002801 -0.002074 0.005521 -0.007003 0.002739 -0.005333 0.000881 -0.001330 0.000234 -0.000370 0.006656 0.002584 0.002220 -0.005777 0.001510 -0.006921 0.002749 -0.004025 0.005111 0.000664 0.004494 0.000122 0.004871 0.000073 -0.004502 -0.003419 
2	0.004947 0.001057 -0.004517 0.004191 0.006602 0.004348 -0.006404 0.006704 -0.001704 0.002411 -0.002945 -0.000999 -0.000401 0.000079 0.003958 -0.005539 0.004095 -0.004538 -0.006505 -0.002191 -0.002876 0.001932 -0.002321 -0.002792 -0.002323 0.000450 -0.007367 -0.007688 0.003964 -0.003332 0.004059 -0.000729 0.002757 -0.002333 -0.002297 -0.000946 0.002276 0.004532 0.000686 -0.002367 -0.002037 -0.006022 0.002244 0.002938 -0.007194 -0.006669 0.006415 -0.001181 -0.002078 -0.003679 0.004269 0.007151 0.004042 -0.000909 -0.007640 -0.005432 -0.006344 -0.006309 0.001062 0.004814 -0.005082 0.001313 -0.006384 0.005152 
3	-0.006188 -0.002015 0.000834 -0.007430 -0.007261 -0.001733 -0.001899 0.003856 -0.002027 -0.006523 0.007013 0.000910 -0.006580 0.001327 -0.001136 0.007108 0.000845 0.004460 -0.007015 -0.007409 -0.003209 0.000230 0.001658 0.001152 -0.002935 -0.001617 0.002413 -0.004718 0.007287 0.007756 -0.005462 0.004918 -0.005186 0.005151 0.004399 -0.000197 0.000130 0.001815 -0.003316 0.002501 -0.006791 0.005923 0.006018 -0.004086 -0.000479 0.005382 0.007249 -0.007732 0.003488 0.002833 -0.000197 -0.002711 -0.003419 -0.003293 0.001774 -0.003393 -0.003132 -0.004347 0.005197 0.002182 -0.001956 -0.007573 0.006947 -0.004368 
4	-0.001212 -0.007315 -0.001870 -0.004846 0.000591 0.000845 -0.002609 0.002637 0.006190 0.005664 0.001174 0.004694 0.006985 -0.004238 0.001308 -0.005966 0.006175 0.000873 -0.002655 0.005040 -0.002787 0.005848 -0.006428 0.000818 -0.001273 -0.002570 -0.001696 -0.004265 0.007116 0.007099 -0.002663 -0.006732 -0.005258 0.002820 0.004665 -0.000025 0.002554 -0.002042 0.005953 -0.005628 0.006152 0.003720 -0.001825 -0.004653 0.003634 -0.003491 0.007489 -0.006729 0.003475 0.002088 0.000252 0.005151 0.002265 -0.001579 0.002672 -0.006712 -0.001626 -0.000193 0.000307 0.005496 -0.001261 0.003014 0.000413 -0.003059 
5	-0.001790 -0.004791 -0.005090 0.006702 0.005844 0.005073 -0.001013 0.006976 -0.007636 -0.007700 -0.004323 -0.002266 -0.005000 -0.005796 0.004426 -0.004562 0.000248 0.007039 -0.001648 -0.003581 -0.004280 0.001774 -0.001415 0.006046 -0.000277 0.001054 0.007796 0.007321 0.004768 0.004354 -0.001945 0.001417 -0.002512 0.003090 -0.005564 -0.000952 0.004406 0.001122 0.006918 -0.001604 -0.002874 0.000715 0.005589 0.007427 0.003850 0.005341 -0.003941 -0.000171 -0.004725 0.007009 0.006224 -0.002535 0.005610 -0.002030 0.004750 -0.003290 -0.002997 -0.000372 -0.001104 0.004542 0.000723 -0.005878 0.000462 0.003418 
6	0.000234 0.003693 -0.006465 -0.000835 -0.006573 -0.006292 0.007346 -0.004706 -0.002468 -0.000268 -0.003205 0.002330 0.007780 0.002961 0.007736 -0.005819 -0.002262 -0.004425 -0.001160 -0.004200 -0.004668 0.003685 -0.004147 -0.007582 0.004137 -0.000067 0.007211 0.004004 0.000766 0.000145 0.001940 0.000650 0.003113 0.004134 -0.002056 0.003887 -0.006780 0.007712 -0.000478 0.002362 -0.004656 -0.005867 -0.005677 -0.002446 -0.004422 -0.007289 -0.006952 -0.000674 -0.004032 -0.007027 -0.004418 0.000413 -0.001851 0.007426 -0.002068 0.003316 0.001422 0.005239 -0.002386 0.002665 0.003412 -0.001471 -0.003704 -0.002309 
7	-0.007145 0.007268 0.006751 -0.000011 -0.004895 0.005313 0.000892 0.001066 -0.007737 0.001340 0.006447 -0.001384 0.007087 0.004141 -0.005527 0.001619 0.005416 0.000260 0.002965 0.002112 0.003937 -0.004689 -0.006315 -0.005316 -0.007806 0.006419 -0.002107 -0.007736 0.001391 0.004775 0.002753 -0.006830 0.007546 0.000009 0.003832 -0.002577 0.001685 -0.001492 -0.005069 0.001916 -0.004558 -0.004634 -0.003781 -0.001440 0.002250 -0.004650 0.006924 -0.001496 0.003179 0.001197 -0.007622 -0.007001 0.001015 0.005822 0.007610 0.007374 -0.006419 0.003278 0.000201 -0.003718 0.005124 -0.007399 -0.001005 0.002781 
8	-0.003431 0.007227 0.004338 -0.001425 0.000083 0.000204 0.007027 0.001846 0.005845 0.000212 0.003563 0.007332 0.005150 0.001951 -0.003378 -0.003418 0.002495 0.007700 0.000430 0.000493 0.005398 -0.003066 0.004358 0.000011 -0.000205 -0.001380 0.006272 0.002220 -0.004963 0.002849 -0.000745 0.001999 -0.004303 0.003590 0.001449 -0.000332 -0.000983 0.005455 -0.001027 0.004521 -0.007326 -0.007023 0.005515 -0.005025 0.005172 0.002841 -0.000534 -0.001768 -0.000396 0.007671 -0.003066 0.003877 0.004452 0.001213 -0.006609 -0.004732 0.003616 0.005320 -0.004265 -0.007072 -0.000081 -0.003794 -0.002130 0.006160 
9	-0.004023 0.007770 0.003973 -0.000340 0.005912 -0.001869 -0.004970 0.005586 0.007256 -0.002100 0.001483 -0.005492 -0.001374 0.005122 -0.003045 0.001469 0.000103 0.007628 0.003393 0.006484 0.000947 0.000429 -0.003154 0.007253 0.004858 0.004780 -0.007180 -0.006894 -0.003710 -0.004336 0.001731 0.002227 -0.002357 -0.001504 0.000044 0.005204 -0.001201 0.005603 -0.004452 0.004095 -0.001710 -0.007579 0.006583 -0.001175 -0.006298 -0.002897 -0.007241 -0.000552 -0.007652 0.004265 0.002366 -0.002923 -0.000625 0.007477 0.002912 -0.004760 0.005438 0.003889 0.005606 0.002017 -0.001572 0.001944 -0.007105 0.004048 
