0	-0.015625 0.001166 0.005906 0.006133 -0.003570 0.003644 -0.014208 0.003461 0.009477 -0.003453 0.013795 0.010446 0.010304 0.011185 0.013301 -0.011242 -0.000566 -0.008842 0.008837 0.006370 0.008030 -0.001568 0.013589 -0.003112 0.008441 0.008675 -0.008937 0.013622 -0.012218 0.003728 -0.013795 -0.010244 
1	-0.011514 -0.001003 0.006319 0.007904 0.003964 -0.004017 -0.014331 0.005249 0.000694 -0.005178 0.003023 0.009124 -0.011213 -0.011312 0.014044 -0.005201 0.012839 -0.010221 -0.015463 0.003087 -0.013587 -0.008312 0.014615 0.007598 -0.011954 -0.012878 -0.013714 0.011637 0.003588 0.005925 -0.015281 0.015483 
2	0.007988 -0.006650 0.015223 0.005298 0.004970 -0.008600 -0.010834 -0.000152 0.011301 0.006050 -0.011686 0.010908 0.009411 -0.003152 -0.001042 -0.005965 0.006349 -0.003587 -0.012912 0.005968 -0.007020 -0.014891 0.002721 0.015014 -0.003647 0.005071 0.002473 -0.012200 -0.009472 -0.014803 -0.013485 0.005141 
3	-0.001292 -0.010052 0.014200 0.004170 0.006541 -0.008322 0.008346 0.002237 -0.006963 -0.011097 -0.007907 -0.006806 -0.008516 -0.003534 -0.006805 -0.004552 -0.003147 -0.003918 -0.013775 -0.013321 0.008456 0.000865 0.012046 -0.004816 -0.014026 0.002066 -0.004285 0.013015 -0.010904 -0.007152 -0.013791 -0.004797 
4	0.001024 -0.010821 0.010977 -0.013861 0.001208 0.004782 -0.013696 0.002778 0.011547 -0.006515 0.012085 -0.007354 -0.003150 0.010826 -0.001242 -0.010535 -0.010361 -0.007364 0.013337 0.011864 -0.003931 0.011619 -0.004822 -0.003740 -0.011774 0.012768 0.014627 0.000493 -0.010676 -0.009951 -0.012187 0.008515 
5	-0.008783 0.002239 -0.006584 0.003069 -0.006866 -0.010440 0.000603 -0.001834 0.002714 0.005214 -0.009494 -0.010314 0.003100 -0.013871 -0.002162 -0.005558 0.012578 -0.010479 -0.008917 -0.009282 -0.006160 -0.005033 0.011540 0.014466 -0.014148 -0.006165 -0.010131 0.011079 0.003460 -0.002472 0.014910 -0.008404 
6	-0.014155 0.009450 0.001170 -0.008531 0.009873 0.007628 0.013411 -0.010899 -0.003463 0.011074 -0.010533 0.001048 0.004850 -0.001348 0.011442 -0.003763 -0.009060 0.011141 0.008792 -0.008852 -0.004549 -0.001290 -0.015420 0.010283 -0.010475 -0.013765 0.009811 -0.011456 0.001541 0.015436 -0.003636 0.001740 
7	0.005590 -0.014592 0.000451 -0.005663 -0.004003 -0.010633 -0.008734 0.000071 0.009747 -0.005791 0.010500 -0.013338 -0.013946 0.008298 -0.009418 0.004418 0.001511 -0.007955 -0.007698 0.007269 0.014602 0.005457 -0.009630 -0.012514 0.009187 -0.011199 -0.007355 -0.011368 -0.003679 -0.008303 -0.008100 0.001543 
8	0.005603 0.001077 -0.012393 0.006245 0.005816 -0.014136 -0.009232 0.007230 0.000802 -0.011121 0.003200 0.015585 0.015199 -0.006485 -0.003601 0.003197 -0.003976 0.012293 -0.006669 0.008926 0.003821 -0.009761 -0.005876 -0.011477 -0.004824 -0.000823 0.012623 0.004283 0.002966 -0.011324 -0.015027 -0.005811 
9	0.013584 -0.000047 -0.002687 -0.011955 -0.005932 0.005062 -0.012844 -0.014636 0.013746 0.003195 0.003851 0.007818 0.009760 0.014435 0.008100 -0.014447 -0.007401 0.009099 0.007443 0.014319 0.006182 0.003023 -0.008570 -0.012362 -0.006872 0.006864 0.002004 -0.011130 -0.001472 -0.002453 -0.004325 -0.012833 
10	-0.003641 0.014230 0.002397 0.008205 -0.015333 -0.011720 0.006240 -0.014012 -0.002499 -0.015450 0.010584 -0.011806 -0.002701 0.015625 0.009820 -0.005153 0.009584 0.014506 -0.006379 0.006733 -0.004794 -0.004464 0.000315 0.008922 0.010683 -0.015326 -0.014116 0.006413 0.005937 -0.009625 -0.002541 0.001742 
11	0.000607 0.007759 0.011768 0.000816 -0.012381 0.014036 0.006452 0.000689 0.002496 0.013151 0.005364 -0.010481 -0.014630 0.015597 0.005398 -0.013181 -0.008255 -0.007789 -0.000838 0.007515 -0.010799 0.010029 0.009936 0.009195 -0.008650 0.007882 -0.000602 0.003991 0.007186 -0.012430 0.010023 -0.009414 
12	0.010343 0.001706 -0.001874 0.001685 0.000655 -0.000494 -0.000168 -0.005605 0.007786 -0.003689 -0.003389 -0.002340 -0.012248 0.007551 0.006925 0.001376 0.004966 -0.006747 0.012812 -0.009524 0.000500 -0.002403 -0.008737 0.008754 -0.011561 0.003850 0.015368 0.011571 -0.006066 -0.004966 0.013764 -0.003158 
13	-0.014545 0.012211 0.007180 0.002750 0.008621 0.003783 -0.007444 -0.014529 0.011900 0.000517 0.011603 0.008538 0.014827 -0.004694 0.005730 -0.000277 -0.005137 0.001557 0.013221 -0.008892 0.002046 -0.014004 0.001366 -0.003747 0.000254 -0.013608 0.006234 0.011455 -0.011179 -0.002164 -0.005794 0.013429 
14	-0.013954 0.003902 0.011539 -0.005323 -0.008729 0.012938 0.006612 -0.007964 -0.005060 -0.004861 0.005230 -0.008951 0.011472 0.009268 -0.005813 -0.006629 0.000692 0.006841 0.012243 -0.014986 0.006138 0.010782 -0.009628 -0.004655 -0.007421 0.003479 -0.011935 -0.007463 0.012442 0.005634 0.001372 -0.011465 
15	0.000928 0.010689 0.006739 0.006343 -0.013898 -0.015064 -0.003801 -0.012276 -0.009702 -0.007371 -0.012012 -0.002065 0.005346 -0.009406 -0.010360 -0.007728 -0.001472 0.000478 -0.007792 0.010599 0.005906 -0.011291 -0.009904 -0.011255 -0.006274 0.005972 0.009793 0.003467 -0.012271 -0.001205 -0.005194 -0.000164 
