1954	0.000490 -0.002835 0.005240 0.003476 -0.001570 -0.005480 0.002749 0.004322 0.003459 -0.006430 0.003522 -0.007360 0.002411 0.004890 -0.001621 -0.001643 0.006240 0.000464 0.004673 0.002035 -0.007593 0.006992 -0.007079 -0.004059 -0.003225 0.000458 -0.005749 -0.004893 -0.004694 -0.004411 0.004551 0.004349 -0.004344 0.003027 0.001022 -0.001944 0.006917 -0.006514 -0.006481 0.003016 0.004985 -0.002028 0.006047 -0.004432 -0.004329 0.000419 -0.005198 -0.005543 0.007171 -0.005086 -0.001277 0.003571 0.004210 -0.006897 0.002209 -0.004639 -0.001212 -0.003555 0.004446 0.004964 -0.004283 -0.003229 -0.003771 0.002319 
1955	0.004109 -0.005141 0.006418 0.005249 0.005023 -0.004671 -0.006191 -0.005735 -0.001202 -0.004875 0.004171 0.002664 0.001378 -0.003154 -0.005259 -0.007481 -0.002597 0.005540 0.007422 0.005953 -0.005853 0.001913 0.002755 -0.000771 0.001887 -0.003300 -0.006021 0.004763 0.006952 0.005536 0.002780 0.007271 -0.007617 -0.000807 0.002460 -0.002688 0.007700 -0.004613 -0.005983 0.005611 0.006784 0.002365 -0.002728 -0.004133 -0.006714 0.000899 0.003616 0.001945 -0.004116 0.005787 -0.007555 -0.000929 0.001626 0.002607 -0.005838 0.005128 -0.004452 0.005792 -0.002106 0.005448 -0.005221 0.004068 0.007566 0.007528 
1956	0.005479 -0.003829 0.002610 0.005256 0.005861 0.004108 -0.006631 0.006375 0.007186 0.006929 0.000098 -0.002070 -0.001573 -0.003703 -0.006858 -0.004113 0.004042 -0.000559 0.005410 0.006377 0.004451 0.003531 -0.002054 -0.007015 0.002114 -0.000506 -0.004144 -0.002895 -0.006411 0.004123 -0.004504 0.000221 -0.005892 -0.006270 -0.007069 0.007011 -0.002914 -0.000296 0.001411 0.007724 -0.001711 0.002547 -0.007751 -0.001947 0.007244 -0.000208 -0.002733 0.002771 -0.002932 0.003840 -0.003898 0.007709 -0.006393 0.002688 0.005159 -0.000429 -0.003790 0.003994 0.001658 -0.000687 -0.002390 0.006774 -0.005509 -0.002864 
1957	0.000056 -0.002419 0.001681 -0.006263 0.004954 0.001039 -0.001449 -0.007516 0.005959 -0.002375 0.006754 0.002856 0.007506 -0.003832 -0.004866 -0.003566 0.001680 -0.004085 0.006611 -0.004626 -0.002681 -0.006576 0.003314 0.006022 0.006477 -0.003663 -0.001944 0.001756 0.005483 -0.003882 0.006829 -0.003238 -0.005651 -0.005336 -0.004670 0.004029 0.001410 0.003993 -0.003914 0.005347 0.002442 0.004756 -0.004918 0.002249 -0.005335 -0.004810 0.000197 -0.006560 0.007007 -0.000669 0.000917 0.000658 -0.007549 -0.003540 0.003260 0.002123 0.003057 -0.001154 0.007510 -0.002373 -0.002356 0.004807 0.005804 0.006118 
1958	0.004064 -0.007559 0.001540 -0.000679 -0.000627 0.000787 -0.007290 -0.004293 0.000146 0.006089 -0.001016 -0.004569 0.002890 -0.002896 0.007684 -0.003859 0.000667 -0.006656 0.004308 -0.005380 -0.005688 0.003458 -0.000132 0.006583 0.006204 0.003420 0.006460 -0.001928 0.003909 0.001382 0.001998 0.002925 0.005461 -0.001793 0.002404 0.004791 -0.005095 -0.005932 -0.001304 0.006861 0.006791 0.004438 -0.002345 0.003468 -0.001789 -0.004454 0.005938 0.003840 -0.007030 0.004420 -0.007242 0.007056 -0.003985 -0.006660 -0.004879 0.001286 -0.003642 0.005652 0.007456 -0.001095 0.006900 0.002402 -0.007811 -0.001777 
1959	-0.001272 0.006838 -0.003537 -0.001989 -0.001456 0.000489 -0.002790 -0.003350 -0.001422 -0.004003 -0.004092 -0.002422 0.003922 -0.005239 0.000400 -0.001878 -0.003945 -0.003361 0.005709 0.002278 0.002722 0.005995 -0.001064 0.006447 -0.002831 0.005726 0.000839 -0.005994 -0.003196 -0.003250 -0.003224 -0.001773 -0.004323 0.004214 0.006021 0.000267 -0.002971 0.007275 -0.005290 -0.003020 0.005387 -0.004838 -0.007547 0.002979 -0.004725 -0.006273 0.002751 0.004732 -0.005563 0.004700 0.000986 -0.003799 0.006284 0.004782 -0.002031 -0.003271 0.000065 0.006613 -0.001331 0.001488 -0.007392 0.002887 -0.007254 0.003646 
1960	0.007392 0.004167 0.004003 0.003635 -0.002971 0.007190 -0.005506 0.003511 -0.004020 -0.003909 0.001234 -0.006067 0.001285 0.006424 -0.005661 0.003577 0.000484 0.004318 -0.003027 0.006510 -0.001884 -0.001598 -0.004971 -0.005826 -0.007038 -0.002404 -0.006199 -0.000007 0.001906 0.003080 -0.004261 -0.007437 0.002845 0.000859 -0.002659 0.002270 -0.006600 0.007432 -0.000814 0.000680 -0.003602 -0.006752 0.002396 -0.007233 -0.005262 0.005361 -0.003441 -0.001022 0.004044 0.006767 -0.004408 -0.005989 0.000846 0.003524 0.006658 0.003563 0.002641 0.006205 -0.000376 0.005076 0.005397 0.000193 -0.004456 0.003294 
1961	-0.000009 -0.006244 0.001465 0.004734 -0.000111 0.007650 0.001586 -0.003177 -0.001675 -0.005162 0.003976 0.004491 0.006377 0.000168 0.004637 0.004120 -0.004888 -0.007304 0.003320 -0.006916 -0.004420 0.001621 0.005042 -0.006588 -0.001412 0.006135 -0.002496 -0.002922 0.007708 0.001508 0.006143 0.004749 -0.004398 0.002071 -0.005390 0.005481 0.001858 -0.003899 0.000636 -0.002481 0.000553 -0.002690 0.002048 0.002451 -0.001043 0.003782 -0.002873 0.002535 0.003886 -0.002439 -0.005462 0.007169 -0.006520 -0.000226 -0.002131 0.004070 -0.001373 -0.000028 0.004311 0.003150 0.000700 -0.007666 0.004525 -0.005181 
1962	-0.007654 -0.002850 0.006502 -0.006540 -0.005193 -0.006844 0.006752 0.004317 -0.006143 -0.001474 0.003729 -0.002870 0.005325 0.004283 -0.007276 -0.002835 -0.004335 -0.000840 -0.005713 -0.000185 0.000146 -0.004079 -0.003186 -0.001498 -0.007675 -0.000480 0.006245 0.001964 0.000550 -0.001213 -0.007222 -0.001097 -0.003275 -0.001055 0.003458 -0.002083 0.005813 -0.006569 -0.001461 0.007666 -0.004561 0.002744 0.003330 0.002923 -0.006516 0.000155 0.006072 -0.007341 -0.000937 -0.000231 0.006302 0.007359 -0.007348 0.000385 -0.000739 0.003453 0.005805 0.002889 0.007424 -0.004677 0.000777 0.001258 0.003068 0.001459 
1963	-0.001238 -0.006081 -0.006776 0.005839 -0.006450 -0.004007 0.001148 0.004951 -0.003470 -0.005941 -0.000344 -0.004394 0.001430 0.001996 -0.006084 0.003907 0.005385 -0.000342 -0.003336 -0.000772 0.004343 0.005043 -0.002860 -0.004897 -0.005596 -0.002431 -0.001251 0.007450 -0.000256 -0.000188 -0.006691 0.004904 -0.000381 -0.001545 0.005356 -0.000939 -0.006805 -0.002886 0.000043 0.003402 -0.003356 -0.004910 -0.006065 -0.005705 0.007655 0.000970 -0.003413 0.004785 -0.003356 0.000542 -0.001047 -0.006316 0.006299 -0.007159 -0.001766 0.001084 -0.001071 -0.001293 -0.007266 0.006591 -0.000306 0.001862 0.004930 -0.001747 
